2024/06/16 11:01:23 [error] 31#31: *3 open() "/var/www/html404" failed (2: No such file or directory), client: 192.168.16.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", host: "localhost:8443"
2024/06/16 11:01:25 [error] 31#31: *3 open() "/var/www/html404" failed (2: No such file or directory), client: 192.168.16.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", host: "localhost:8443"
2024/06/16 19:10:10 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:11 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:11 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:12 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:12 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:12 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:12 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:12 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:12 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:14 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:14 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:15 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:10:15 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:11:03 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:11:04 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:11:10 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 19:11:10 [error] 31#31: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.160.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://192.168.160.3:9000", host: "localhost"
2024/06/16 20:46:00 [error] 32#32: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.24.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.24.0.3:9000", host: "localhost"
2024/06/16 20:46:14 [error] 32#32: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.24.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.24.0.3:9000", host: "localhost"
2024/06/16 20:48:37 [error] 29#29: *13 connect() failed (111: Connection refused) while connecting to upstream, client: 172.24.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.24.0.3:9000", host: "localhost"
2024/06/16 20:50:12 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:50:13 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:50:13 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:50:13 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:50:14 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:50:14 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:50:14 [error] 32#32: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.25.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.25.0.3:80", host: "localhost"
2024/06/16 20:51:08 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:09 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:09 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
